Fecha;Nombre Stocks;Tonelaje [Ton];Leyes de Elementos;;;;;pH Natural ;Arcillas;;;;;Sulfuros de Cobre;;;;;Pirita [%]
;;;CuT [%];CuS [%];As [ppm];Mo [ppm];FeT [%];;Pirofilita    [%];Caolinita [%];Illita          [%];Muscovita [%];Suma de Arcillas [%];Bornita   [%];Calcocina [%];Calcopirita [%];Covelina [%];Enargita [%];
22-01-2024;RS1-PARINA/SME; 30.621 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
22-01-2024;RS1-STOCKCR04/SAL; 12.368 ; 1,20 ; 0,060 ; 31 ; 417 ; 2,26 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
23-01-2024;RS1-PARINA/SME; 27.987 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
23-01-2024;RS1-STOCKCR04/SAL; 5.551 ; 1,37 ; 0,060 ; 33 ; 457 ; 2,68 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
23-01-2024;RS2-STOCKCR04/SAL; 1.695 ; 1,58 ; 0,100 ; 274 ; 5 ; 3,88 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
24-01-2024;RS1-STOCKCR04/SAL; 34.129 ; 1,37 ; 0,070 ; 71 ; 361 ; 2,37 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
25-01-2024;RS1-PARINA/SME; 7.804 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
25-01-2024;RS1-STOCKCR04/SAL; 21.646 ; 1,37 ; 0,070 ; 72 ; 376 ; 3,06 ; 6,8 ; 1,0 ; 0,4 ; 9,2 ; 12,1 ; 10,6 ; 1,2 ; 1,2 ; 1,2 ; 0,0 ; 0,1 ; 6,8 
26-01-2024;RS1-PARINA/SME; 33.418 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
26-01-2024;RS1-STOCKCR04/SAL; 19.267 ; 1,23 ; 0,041 ; 89 ; 433 ; 3,10 ; 7,0 ; 0,1 ; 0,7 ; 9,5 ; 16,1 ; 10,3 ; 0,8 ; 0,2 ; 1,7 ; 0,0 ; 0,0 ; 3,2 
27-01-2024;RS1-PARINA/SME; 6.218 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
27-01-2024;RS1-STOCKCR04/SAL; 25.435 ; 1,24 ; 0,058 ; 61 ; 437 ; 2,53 ; 7,0 ; 0,1 ; 0,7 ; 9,5 ; 16,1 ; 10,3 ; 0,8 ; 0,2 ; 1,7 ; 0,0 ; 0,0 ; 3,2 
27-01-2024;RS2-STOCKCR04/SAL; 11.104 ; 1,42 ; 0,099 ; 219 ; 103 ; 4,31 ; 6,8 ; 3,9 ; 2,0 ; 14,1 ; 18,6 ; 20,0 ; 0,1 ; 0,5 ; 0,2 ; 0,0 ; 0,0 ; 16,0 
28-01-2024;RS1-PARINA/SME; 22.234 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
28-01-2024;RS1-STOCKCR04/SAL; 9.808 ; 1,22 ; 0,050 ; 78 ; 445 ; 2,83 ; 7,0 ; 0,1 ; 0,7 ; 9,5 ; 16,1 ; 10,3 ; 0,8 ; 0,2 ; 1,7 ; 0,0 ; 0,0 ; 3,2 
28-01-2024;RS2-STOCKCR04/SAL; 4.067 ; 1,58 ; 0,130 ; 274 ; 5 ; 4,92 ; 6,8 ; 3,9 ; 2,0 ; 14,1 ; 18,6 ; 20,0 ; 0,1 ; 0,5 ; 0,2 ; 0,0 ; 0,0 ; 16,0 
29-01-2024;RS1-PARINA/SME; 29.005 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
29-01-2024;RS1-STOCKCR04/SAL; 2.170 ; 1,24 ; 0,060 ; 61 ; 437 ; 2,53 ; 7,0 ; 0,1 ; 0,7 ; 9,5 ; 16,1 ; 10,3 ; 0,8 ; 0,2 ; 1,7 ; 0,0 ; 0,0 ; 3,2 
30-01-2024;RS1-ALTALEY/SAL; 3.611 ; 2,18 ; 0,090 ; 117 ; 415 ; 4,10 ; 6,8 ; 0,8 ; 1,2 ; 12,2 ; 15,0 ; 14,2 ; 0,7 ; 0,2 ; 1,4 ; 0,0 ; 0,0 ; 8,3 
30-01-2024;RS1-PARINA/SME; 45.737 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
30-01-2024;RS1-STOCKCR04/SAL; 7.431 ; 1,19 ; 0,109 ; 41 ; 181 ; 2,53 ; 7,0 ; 0,1 ; 0,7 ; 9,5 ; 16,1 ; 10,3 ; 0,8 ; 0,2 ; 1,7 ; 0,0 ; 0,0 ; 3,2 
31-01-2024;RS1-PARINA/SME; 33.597 ; 0,80 ; 0,040 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
31-01-2024;RS1-STOCKCR04/SAL; 1.798 ; 1,17 ; 0,130 ; 4 ; 100 ; 2,35 ; 7,0 ; 0,1 ; 0,7 ; 9,5 ; 16,1 ; 10,3 ; 0,8 ; 0,2 ; 1,7 ; 0,0 ; 0,0 ; 3,2 
31-01-2024;RS2-STOCKCR04/SAL; 8.804 ; 1,34 ; 0,160 ; 446 ; 39 ; 6,07 ; 6,8 ; 3,9 ; 2,0 ; 14,1 ; 18,6 ; 20,0 ; 0,1 ; 0,5 ; 0,2 ; 0,0 ; 0,0 ; 16,0 
01-02-2024;RS1-ALTALEY/SAL; 10.199 ; 2,17 ; 0,080 ; 122 ; 429 ; 4,64 ; 6,8 ; 0,8 ; 1,2 ; 12,2 ; 15,0 ; 14,2 ; 0,7 ; 0,2 ; 1,4 ; 0,0 ; 0,0 ; 8,3 
01-02-2024;RS1-PARINA/SME; 35.624 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
01-02-2024;RS1-STOCKCR04/SAL; 12.156 ; 1,20 ; 0,061 ; 62 ; 434 ; 2,34 ; 7,0 ; 0,1 ; 0,7 ; 9,5 ; 16,1 ; 10,3 ; 0,8 ; 0,2 ; 1,7 ; 0,0 ; 0,0 ; 3,2 
